Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
Nick Salerno,Guapos,0.474,6,19,5,9,1,0,0,8,2,1,1,0,0,0,10,0.545,0.526
David Vaks,Guapos,0.364,4,11,3,4,0,0,0,1,1,0,0,1,0,0,4,0.417,0.364
Kevin Biederman,Guapos,0.333,10,36,3,12,2,0,0,6,2,6,0,1,0,0,14,0.368,0.389
Fernando Hernandez,Guapos,0.31,10,29,6,9,3,0,0,3,6,9,0,4,0,0,12,0.429,0.414
DJ Alexander,Guapos,0.308,8,26,6,8,3,0,0,2,0,6,1,1,0,0,11,0.333,0.423
Robert Reeves,Guapos,0.306,13,49,8,15,2,0,0,2,1,10,0,1,0,0,17,0.32,0.347
Aaron Preski,Guapos,0.283,15,53,5,15,2,0,0,5,3,18,0,1,0,0,17,0.321,0.321
Dylan Plunkett,Guapos,0.26,15,50,11,13,3,0,1,9,10,18,4,0,0,0,19,0.422,0.38
Zach Brandt,Guapos,0.229,15,48,8,11,4,0,0,4,8,12,0,2,0,0,15,0.339,0.312
David Odud,Guapos,0.222,11,36,3,8,0,0,0,5,4,5,1,1,0,0,8,0.317,0.222
Gil Rodriguez,Guapos,0.217,9,23,2,5,0,0,0,0,3,10,0,0,0,0,5,0.308,0.217
Robert Reeves III,Guapos,0.167,11,36,2,6,0,1,0,2,3,8,0,2,0,0,8,0.231,0.222
Samuel Prasse,Guapos,0.118,8,17,6,2,0,0,0,4,3,9,1,1,0,2,2,0.261,0.118
Alex Torres,Guapos,0.105,8,19,6,2,0,0,0,0,7,9,0,0,0,0,2,0.346,0.105
Johnny Silva,Guapos,0.1,10,30,1,3,0,0,0,2,1,7,2,2,0,0,3,0.182,0.1
Alex Acuna,Guapos,0.1,3,10,0,1,1,0,0,0,0,1,1,0,0,0,2,0.182,0.2
Danny Torres,Guapos,0,7,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
