Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG
Jose Holguin,Hard Knocks,0.455,12,44,6,20,9,0,1,17,5,5,1,2,0,0,32,0.52,0.727
Jesse Martinez,Hard Knocks,0.429,6,14,2,6,2,0,0,3,0,3,2,0,0,0,8,0.5,0.571
Fabian De La Barcena,Hard Knocks,0.385,8,26,3,10,3,0,1,9,1,5,0,1,0,0,16,0.407,0.615
Mitchell Miller,Hard Knocks,0.375,6,16,5,6,0,0,0,2,1,1,3,0,1,0,6,0.5,0.375
Paul Galloway,Hard Knocks,0.346,9,26,8,9,2,0,0,2,5,4,2,1,0,0,11,0.485,0.423
David Mair,Hard Knocks,0.345,8,29,3,10,1,0,0,5,2,6,1,1,0,1,11,0.394,0.379
Alex Gutierrez,Hard Knocks,0.333,12,45,6,15,1,0,0,6,3,13,0,3,0,1,16,0.367,0.356
Charlie Greene,Hard Knocks,0.333,10,36,11,12,4,0,0,5,2,5,3,1,0,1,16,0.405,0.444
Joseph Cordova,Hard Knocks,0.333,3,9,1,3,0,0,0,0,0,0,1,0,0,0,3,0.4,0.333
Jessey Melendez,Hard Knocks,0.321,8,28,9,9,0,0,0,2,3,2,0,4,0,0,9,0.387,0.321
Christopher Galarza-Gomez,Hard Knocks,0.3,13,40,7,12,0,0,0,3,3,5,0,0,0,0,12,0.349,0.3
Joel Castellon,Hard Knocks,0.25,10,28,4,7,0,0,0,0,6,3,0,2,1,0,7,0.382,0.25
Chad Crunelle,Hard Knocks,0.24,14,25,4,6,2,0,0,3,2,7,1,1,0,1,8,0.31,0.32
David Whitaker,Hard Knocks,0.222,12,9,0,2,1,0,0,1,0,7,0,0,0,0,3,0.222,0.333
Will Greene,Hard Knocks,0.206,10,34,2,7,0,0,0,4,1,5,1,0,0,2,7,0.237,0.206
Eric Carrero,Hard Knocks,0.15,6,20,2,3,1,0,0,3,3,3,1,0,0,0,4,0.292,0.2
Malcolm Smith,Hard Knocks,0.143,6,21,3,3,1,0,1,2,2,2,2,4,0,0,7,0.28,0.333
Valente Gutierrez,Hard Knocks,0.125,10,32,2,4,0,0,0,2,5,12,2,1,0,0,4,0.282,0.125
Willie Barcena,Hard Knocks,0.125,4,8,1,1,0,0,0,1,0,4,0,0,0,0,1,0.125,0.125
Yuyi Contreras,Hard Knocks,0.111,12,36,7,4,0,0,0,1,6,9,2,0,0,0,4,0.273,0.111
Jamil Mamdani,Hard Knocks,0.095,7,21,2,2,0,0,0,0,2,6,0,0,0,0,2,0.174,0.095
Brandon Kaufman,Hard Knocks,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Mair,Hard Knocks,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alex Van Horn,Hard Knocks,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0.25,0
