Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Jake Vollen,Coyotes,2,0,4,0,0,1,1,0,2,0,0,0,0,0
TJ Carter,Coyotes,3,1,13,11,3,17,5,0,14,0,0,1,0,2.08
DaJohn Murray,Coyotes,1,0,3,3,1,3,2,0,3,0,0,0,0,3
Adrian Rangel,Coyotes,4,1,14,13,5,17,4,0,13,0,0,1,0,3.21
Kyle Salaya,Coyotes,11,10,66.2,39,25,47,22,6,78,2,3,7,0,3.38
Kyle Ramirez,Coyotes,1,1,9,8,5,10,4,0,10,0,0,1,0,5
Andre Fuller,Coyotes,1,1,5,8,6,8,5,3,1,0,0,1,0,10.8
Alex Rangel,Coyotes,3,0,3,10,7,8,2,0,2,0,0,0,0,21
