Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Josh Cimino,Legends,2,0,6.2,0,0,3,0,0,4,0,1,0,0,0
Steven Ferguson,Legends,2,0,3,0,0,1,1,0,5,0,1,0,0,0
Scott Savage,Legends,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Kyle Aube,Legends,8,6,25.2,12,8,22,12,1,25,0,2,0,0,2.81
Alexander Delk,Legends,4,0,6,2,2,2,1,1,7,0,1,0,1,3
Ian Neal,Legends,3,2,11,9,5,12,6,0,13,0,0,0,0,4.09
Brian Holman,Legends,4,1,9.2,5,5,9,0,2,6,0,1,0,1,4.66
Kyle Henke,Legends,7,3,19.1,12,11,18,5,0,18,0,1,0,2,5.12
Brett Klasko,Legends,11,1,31,27,19,40,10,3,18,0,4,3,1,5.52
Jake Sahagian,Legends,3,1,8,5,5,11,1,2,8,0,0,0,0,5.62
Martin Orozco,Legends,1,1,3,2,2,2,2,0,4,0,0,0,0,6
Christian LeClaire,Legends,1,0,3,3,3,0,4,1,6,0,0,0,0,9
Cody Stevens,Legends,1,0,2,5,3,4,0,0,0,0,0,0,0,13.5
