Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Jose Holguin,Hard Knocks,4,0,4.1,1,0,2,1,1,6,0,0,0,1,0
Willie Barcena,Hard Knocks,1,0,1,0,0,1,0,0,2,0,0,0,0,0
David Whitaker,Hard Knocks,12,7,59,25,9,54,11,2,79,0,7,0,2,1.37
Michael Mair,Hard Knocks,5,1,13,3,2,4,4,2,17,0,0,0,3,1.38
Chad Crunelle,Hard Knocks,12,7,52.2,37,24,53,10,4,63,0,4,3,2,4.1
Alejandro Gutierrez,Hard Knocks,1,0,2,3,2,3,3,0,2,0,0,0,0,9
