Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Victor DeLeon,Breakers,2,0,6,1,1,3,0,0,6,0,0,0,1,1.5
Kyle Salaya,Breakers,12,12,76.2,37,17,53,34,10,111,4,7,2,0,2
Joselito Garcia,Breakers,3,0,7,2,2,4,2,1,5,0,1,0,0,2.57
Ankit Shah,Breakers,4,0,5,4,4,5,6,0,6,0,0,1,0,7.2
Adrian Rangel,Breakers,4,2,12.2,11,11,15,8,4,16,0,0,2,0,7.82
Alex Rangel,Breakers,5,0,10,13,10,16,2,3,12,0,0,0,0,9
Marc Anthony Rodriguez,Breakers,5,0,5.2,10,10,9,2,3,3,0,0,0,1,15.88
