Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA
Zane Huffman,Mariners,1,0,2,0,0,0,0,0,0,0,0,1,0,0
Kenji Corbisiero,Mariners,1,0,1,5,0,0,1,0,3,0,0,0,0,0
Alexander English,Mariners,1,0,3,0,0,0,3,0,3,0,0,0,0,0
Joshua McMurrey,Mariners,3,0,12,10,3,5,8,1,9,0,0,0,0,2.25
Devin Dhaliwal,Mariners,2,2,12,16,10,12,8,2,16,0,0,2,0,7.5
Nick Johnson,Mariners,0,0,1,4,2,0,0,0,0,0,0,1,0,18
